Number,Ridden Date,Line,Car Type
4225,11/3/2024 2:27pm,C,R211A
9234,11/4/2024 8:41pm,G,R160
1728,11/4/2024 9:17pm,6,R62A
8849,11/4/2024 9:35pm,F,R160
4256,11/4/2024 9:37pm,C,R211A
4159,11/9/2024 9:29am,A,R211A
6609,11/9/2024 9:49am,2,R142
1523,11/9/2024 10:50am,3,R62
6156,11/9/2024 11:32am,A,R46
9850,11/10/2024 2:03pm,F,R160
6157,11/10/2024 2:20pm,A,R46
9106,11/10/2024 6:34pm,F,R160
1756,11/10/2024 6:40pm,6,R62A
6026,11/10/2024 8:50pm,A,R46
3186,11/13/2024 10:10pm,C,R179
8955,11/13/2024 10:12pm,F,R160
8957,11/14/2024 1:41am,F,R160
4152,11/14/2024 1:50am,A,R211A
4059,11/14/2024 11:55am,C,R211T
4372,11/14/2024 3:36pm,A,R211A
6228,11/14/2024 4:03pm,C,R46
1376,11/14/2024 8:41pm,3,R62
4357,11/16/2024 9:01am,A,R211A
2924,11/16/2024 9:09am,S,R68
1387,11/16/2024 9:22am,3,R62
6713,11/16/2024 10:01am,2,R142
6122,11/16/2024 10:20am,A,R46
4205,11/16/2024 11:19am,A,R211A
4244,11/17/2024 1:18pm,A,R211A
9830,11/17/2024 1:34pm,R,R160
4211,11/17/2024 4:22pm,A,R211A
5900,11/17/2024 6:50pm,A,R46
9440,11/17/2024 7:08pm,F,R160
6029,11/22/2024 9:02am,A,R46
3148,11/22/2024 9:27am,C,R179
6155,11/23/2024 11:52am,C,R46
5902,11/23/2024 2:12pm,C,R46
6069,11/24/2024 11:15am,A,R46
4142,11/24/2024 11:53am,C,R211A
6875,11/24/2024 12:47pm,5,R142
1972,11/24/2024 2:14pm,6,R62A
9486,11/24/2024 2:22pm,F,R160
3228,11/24/2024 2:34pm,C,R179
3163,11/26/2024 1:21pm,C,R179
5969,11/26/2024 2:02pm,C,R46
3150,11/28/2024 9:38am,C,R179
2924,11/28/2024 9:44am,S,R68
1394,11/28/2024 9:54am,3,R62
2786,11/28/2024 10:16am,Q,R68
2923,11/28/2024 10:22am,S,R68
1534,11/30/2024 6:20pm,3,R62
1400,11/30/2024 7:43pm,3,R62
2734,11/30/2024 7:49pm,D,R68
8712,11/30/2024 8:35pm,R,R160
9806,11/30/2024 11:19pm,R,R160
4241,11/30/2024 11:46pm,A,R211A
6126,12/1/2024 9:17am,C,R46
2918,12/1/2024 9:20am,S,R68
2920,12/1/2024 10:07am,S,R68
3149,12/1/2024 10:19am,C,R179
3218,12/4/2024 6:27pm,C,R179
3152,12/4/2024 7:17pm,C,R179
3218,12/7/2024 9:16am,C,R179
5657,12/7/2024 9:36am,Q,R46
5824,12/7/2024 10:16am,Q,R46
6644,12/7/2024 10:41am,2,R142
2922,12/7/2024 10:51am,S,R68
3218,12/12/2024 8:27pm,C,R179
9788,12/12/2024 11:15pm,F,R160
5993,12/12/2024 11:29pm,A,R46
3210,12/13/2024 9:36pm,C,R179
3215,12/13/2024 10:21pm,C,R179
6163,12/14/2024 9:37am,C,R46
4150,12/14/2024 1:40pm,A,R211A
2170,12/14/2024 1:57pm,D,R62A
3180,12/14/2024 4:04pm,C,R179
4134,12/17/2024 9:24pm,C,R211A
4165,12/20/2024 5:59pm,A,R211A
9058,12/20/2024 6:04pm,G,R160
9584,12/20/2024 6:26pm,F,R160
5966,12/20/2024 7:02pm,A,R46
6065,12/20/2024 7:15pm,C,R46
9267,12/21/2024 10:34am,G,R160
5887,12/21/2024 10:39am,A,R46
3233,12/21/2024 10:56am,C,R179
4229,12/23/2024 11:11am,C,R211A
8976,12/23/2024 11:31am,R,R160
9265,12/23/2024 12:40pm,G,R160
9263,12/23/2024 1:08pm,G,R160
4342,12/23/2024 1:20pm,C,R211A
2898,12/23/2024 3:31pm,N,R68
2560,12/23/2024 3:53pm,D,R68
4110,12/24/2024 7:33am,C,R211A
7692,12/24/2024 7:58am,4,R142A
5033,12/24/2024 2:44pm,B,R68A
4123,12/24/2024 2:59pm,A,R211A
1192,12/27/2024 6:28pm,4,R142
4131,12/27/2024 9:55pm,A,R211A
6351,12/28/2024 10:59am,2,R142
2231,12/28/2024 11:21am,1,R62A
9874,12/28/2024 12:05pm,F,R160
6199,12/28/2024 12:23pm,C,R46
7179,12/29/2024 10:46am,4,R142
9880,12/29/2024 12:36pm,E,R160
3035,12/29/2024 12:52pm,A,R179
3237,12/29/2024 1:12pm,C,R179
5944,12/30/2024 9:20am,C,R46
7705,12/30/2024 10:22am,4,R142A
4345,12/31/2024 2:05pm,C,R211A
4242,12/31/2024 4:40pm,A,R211A
3173,12/31/2024 4:51pm,C,R179
2923,1/3/2025 11:46am,S,R68
2922,1/3/2025 12:26pm,S,R68
3227,1/3/2025 12:43pm,C,R179
4246,1/4/2025 9:28am,A,R211A
2920,1/4/2025 9:40am,S,R68
4341,1/4/2025 10:39am,A,R211A
6155,1/5/2025 8:05pm,A,R46
8233,1/5/2025 8:37pm,L,R143
8233,1/5/2025 8:38pm,L,R143
7796,1/5/2025 10:49pm,4,R142A
4397,1/5/2025 11:06pm,A,R211A
4078,1/11/2025 2:00pm,A,R211A
9832,1/11/2025 2:20pm,R,R160
9249,1/11/2025 4:27pm,E,R160
4344,1/11/2025 4:40pm,A,R211A
4343,1/11/2025 9:38pm,A,R211A
4156,1/12/2025 1:07am,A,R211A
4315,1/12/2025 3:22pm,A,R211A
6578,1/12/2025 3:47pm,2,R142
6578,1/12/2025 3:50pm,2,R142
8695,1/12/2025 5:52pm,E,R160
8695,1/12/2025 5:53pm,E,R160
6030,1/12/2025 6:03pm,A,R46
4080,1/12/2025 7:43pm,A,R211A
4213,1/12/2025 9:59pm,A,R211A
4255,1/13/2025 3:26pm,C,R211A
4206,1/13/2025 6:32pm,A,R211A
4230,1/13/2025 6:55pm,C,R211A
4120,1/16/2025 12:25am,A,R211A
4133,1/16/2025 12:45am,A,R211A
4211,1/16/2025 6:07pm,A,R211A
5128,1/16/2025 6:27pm,G,R68A
4110,1/16/2025 7:46pm,A,R211A
3224,1/17/2025 6:43pm,C,R179
8257,1/17/2025 10:13pm,L,R143
4318,1/17/2025 10:27pm,C,R211A
3146,1/18/2025 9:38am,C,R179
4104,1/18/2025 12:34pm,A,R211A
4109,1/18/2025 5:13pm,C,R211A
2917,1/18/2025 5:20pm,S,R68
6465,1/18/2025 5:32pm,2,R142
1578,1/18/2025 6:03pm,3,R62
2923,1/18/2025 6:04pm,S,R68
3155,1/18/2025 6:27pm,C,R179
3146,1/19/2025 9:25am,C,R179
4252,1/19/2025 10:13am,A,R211A
