Car Number,Date and Time Logged,Line,Car Type
4225,11/3/2024 2:27pm,C,R211A
9234,11/4/2024 8:41pm,G,R160
1728,11/4/2024 9:17pm,6,R62A
8849,11/4/2024 9:35pm,F,R160
4256,11/4/2024 9:37pm,C,R211A
4159,11/9/2024 9:29am,A,R211A
6609,11/9/2024 9:49am,2,R142
1523,11/9/2024 10:50am,3,R62
6156,11/9/2024 11:32am,A,R46
9850,11/10/2024 2:03pm,F,R160
6157,11/10/2024 2:20pm,A,R46
9106,11/10/2024 6:34pm,F,R160
1756,11/10/2024 6:40pm,6,R62A
6026,11/10/2024 8:50pm,A,R46
3186,11/13/2024 10:10pm,C,R179
8955,11/13/2024 10:12pm,F,R160
8957,11/14/2024 1:41am,F,R160
4152,11/14/2024 1:50am,A,R211A
4059,11/14/2024 11:55am,C,R211T
4372,11/14/2024 3:36pm,A,R211A
6228,11/14/2024 4:03pm,C,R46
1376,11/14/2024 8:41pm,3,R62
